title,model,series,max_head_m,nominal_head_m,max_flow_original,max_flow_l_min,nominal_flow_original,nominal_flow_l_min,voltage,power_kw,diameter_raw,diameter_mm,source_url,status
Погружной скважинный насос SUMOTO 6OPC30/9,6OPC30/9,,,,,,,,220,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_6sh30_9/,missing_data
Погружной скважинный насос SUMOTO 6OPC30/7,6OPC30/7,,,,,,,,220,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_6sh30_7/,missing_data
Погружной скважинный насос SUMOTO 6OPC30/5,6OPC30/5,,,,,,,,220,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_6sh30_5/,missing_data
Погружной скважинный насос SUMOTO 6OPC30/24,6OPC30/24,,,,,,,,220,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_6sh30_24/,missing_data
Погружной скважинный насос SUMOTO 6OPC30/21,6OPC30/21,,,,,,,,220,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_6sh30_21/,missing_data
Погружной скважинный насос SUMOTO 6OPC30/18,6OPC30/18,,,,,,,,220,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_6sh30_18/,missing_data
Погружной скважинный насос SUMOTO 6OPC30/15,6OPC30/15,,,,,,,,220,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_6sh30_15/,missing_data
Погружной скважинный насос SUMOTO 6OPC30/13,6OPC30/13,,,,,,,,220,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_6sh30_13/,missing_data
Погружной скважинный насос SUMOTO 6OPC30/11,6OPC30/11,,,,,,,,220,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_6sh30_11/,missing_data
Погружной скважинный насос SUMOTO 6OPC18/9,6OPC18/9,,,,,,,,220,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_6sh18_9/,missing_data
Погружной скважинный насос SUMOTO 6OPC18/7,6OPC18/7,,,,,,,,220,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_6sh18_7/,missing_data
Погружной скважинный насос SUMOTO 6OPC18/30,6OPC18/30,,,,,,,,220,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_6sh18_30_/,missing_data
Погружной скважинный насос SUMOTO 6OPC18/26,6OPC18/26,,,,,,,,220,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_6sh18_26/,missing_data
Погружной скважинный насос SUMOTO 6OPC18/22,6OPC18/22,,,,,,,,220,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_6sh18_22/,missing_data
Погружной скважинный насос SUMOTO 6OPC18/18,6OPC18/18,,,,,,,,220,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_6sh18_18/,missing_data
Погружной скважинный насос SUMOTO 6OPC18/15,6OPC18/15,,,,,,,,220,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_6sh18_15/,missing_data
Погружной скважинный насос SUMOTO 6OPC18/13,6OPC18/13,,,,,,,,220,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_6sh18_13/,missing_data
Погружной скважинный насос SUMOTO 6OPC18/11,6OPC18/11,,,,,,,,220,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_6sh18_11/,missing_data
Погружной скважинный насос SUMOTO 4SRM8/8,4SRM8/8,4SR,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4srm8_8/,missing_data
Погружной скважинный насос SUMOTO 4SRM8/6,4SRM8/6,4SR,,,,,,,,1.1,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4srm8_6/,missing_data
Погружной скважинный насос SUMOTO 4SRM8/4,4SR6/49,4SR,,,,,,,,0.75,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_4srm8_4/,missing_data
